sentence,cluster
"it gives me an estate of seven years' health; in which time I will make a lip at the physician: the most sovereign prescription in Galen is but empiricutic, and, to this preservative, of no better report than a horse-drench.",2
"It is famous for its modern highways, its movie stars, and its smog.",2
"It makes the consuls base: and my soul aches To know, when two authorities are up, Neither supreme, how soon confusion May enter 'twixt the gap of both and take The one by the other.",1
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"".",0
our drums Are bringing forth our youth.,1
BRUTUS: Not to them all.,1
"CORIOLANUS: Menenius ever, ever.",1
"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858.",0
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College.",5
Definitely a greasy spoon!,2
VOLUMNIA: One on 's father's moods.,1
"Neither paper is published as often as The Observer; however, all three are distributed to all students.",3
The salad was just a huge plate of spring mix (nothing else in it) with WAY to much vinegar dressing.,2
"And when we asked about it, the waitress said 'Yeah, it's huge and really good, and he only charges $12.99 for it, ain't that nuts?'",2
Can't wait to come back.,2
"The place was crowded, we were seated at the last open table.",2
"If you are feeling like lunch food go a little later, their burgers are made on the breakfast griddle and are delicious.",2
My husband and I went a couple of weeks ago.,2
"SICINIUS: You may, sir.",1
Budapest is also known for its exciting nightlife.,2
I'd recommend a call for directions 412-271-9911.,2
"Ay, my dear, Such eyes the widows in Corioli wear, And mothers that lack sons.",1
Give me a break!,1
Second Citizen: Think you so?,1
"All and all, a very crude and unpleasant dining experience for me and my guests.",2
The office admin (very nice) asked for me to come early (before 9am) to complete paperwork.,2
"Speaking of the plague, I suppose we should thank Mr. Surly for inspiring us to walk out.",1
"COMINIUS: Aged sir, hands off.",1
I had a Grand Slam... it was more than enough food.,2
"At the end of the main drive (and in a direct line that connects through 3 statues and the Gold Dome), is a simple, modern stone statue of Mary.",0
CORIOLANUS: Is this done?,1
Preordered my tires and when I arrived they couldn't find the order anywhere.,2
"TITUS: No, Caius Marcius; I'll lean upon one crutch and fight with t'other, Ere stay behind this business.",1
"When yet he was but tender-bodied and the only son of my womb, when youth with comeliness plucked all gaze his way, when for a day of kings' entreaties a mother should not sell him an hour from her beholding, I, considering how honour would become such a person.",1
"It is because of him, not my now former gyn Dr. Markoff, that I found out I have fibroids.",2
"Thou art left, Marcius: A carbuncle entire, as big as thou art, Were not so rich a jewel.",1
We stopped at Papa J's last Friday night (8/1) for a round of drinks.,2
Each time the receptionists give of a vibe of entitlement and it is very uncomfortable.,2
"First Senator: Tribunes, give way; he shall to the market-place.",1
And Irish music.,2
It took forever to order and then forever for our food to come and the place was empty.,2
"First Citizen: First, you know Caius Marcius is chief enemy to the people.",1
The information below will be helpful to you.,2
"The fried noodles were out of a box and nasty, the shrimp was mushy, the fried rice was bright yellow. We asked for water, they brought us 1 in a SOLO cup for 2 people.",2
"Why in this woolvish toge should I stand here, To beg of Hob and Dick, that do appear, Their needless vouches?",1
"Let's fetch him off, or make remain alike.",1
Water is only $1 a bottle!,2
I used to order takeout here once every month or so.,2
He learned from his father at the age of 14 how to sew.,2
"Perfect time with hubby, after work which is 4 am and you can still have a hot nice meal, waitress was such an adorable girl.",2
"The server never did anything to try to make our experience better - he knew we weren't happy, but never offered anything such as dessert on the house.",2
BRUTUS: And topping all others in boasting.,1
BRUTUS: Most willingly; But yet my caution was more pertinent Than the rebuke you give it.,1
MENENIUS: Has he disciplined Aufidius soundly?,1
I've tried to give this McDonalds a chance but my patience has run out.,2
Greeted by a dour manager that seemed mad that we had a reservation.,2
"There were absent only from the gathering Gonzaga and Fortemani, besides a sentry and the three prisoners.",2
Most food for your dollar.,2
I think I was one of his 1st patients when he started at MHMG.,2
"First Citizen: Our business is not unknown to the senate; they have had inkling this fortnight what we intend to do, which now we'll show 'em in deeds.",1
The ambiance is nice but it doesn't justify the prices.,2
Yum! Just as we were finishing our salads our dinners were delivered.,2
"VOLUMNIA: Indeed, you shall not.",1
"LARTIUS: O general, Here is the steed, we the caparison: Hadst thou beheld-- MARCIUS: Pray now, no more: my mother, Who has a charter to extol her blood, When she does praise me grieves me.",1
I was pleasantly surprised by this restaurant.,2
My recommendation is a breakfast sandwich on a bagel and a coffee.,2
And then...AHA!,2
' This is about as old world bar/lounge/restaurant as it gets.,2
I ordered a salad & basil pesto cream pasta & my husband ordered the spinach & feta pasta.,2
LARTIUS: What is become of Marcius?,1
"His pupil age Man-enter'd thus, he waxed like a sea, And in the brunt of seventeen battles since He lurch'd all swords of the garland.",1
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork.",3
"BRUTUS: The aediles, ho!",1
"Second Citizen: Nay, but speak not maliciously.",1
There is a Latino man in his 20's working when you arrive.,2
"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College.",5
A customer even tripped over the buckets and fell.,2
Los Angeles Los Angeles was founded in 1781.,2
"Now, to seem to affect the malice and displeasure of the people is as bad as that which he dislikes, to flatter them for their love.",1
"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States.",3
Third Citizen: Certainly He flouted us downright.,1
"The fish was flavorful, the batter excellent, and for just $8.",2
We placed our order.,2
"He's to make his requests by particulars; wherein every one of us has a single honour, in giving him our own voices with our own tongues: therefore follow me, and I direct you how you shall go by him.",1
"First Citizen: Let us kill him, and we'll have corn at our own price.",1
"CORIOLANUS: Hence, old goat!",1
"And YET to find a true good Reuben in da burgh, I tried it. Well, they were out of the proper bread, and the guy had to run to the store to buy the closest thing he could find, which was not the proper bread, and instead of one of their 'raved about' Reubens, I received two mini-Reubens, which basically took the guts from one Reuben, and spread it out onto two sandwiches on regular sized bread.",2
"VOLUMNIA: He had rather see the swords, and hear a drum, than look upon his school-master.",1
"This is a hidden gem, no really.",2
"MENENIUS: I tell you, friends, most charitable care Have the patricians of you.",1
Do they think that this is their private gym?,2
"Both: Why, how are we censured?",1
"Had to ask for coffee refills, had to ask for silverware, for napkins...etc.",2
"Used to go there for tires, brakes, etc.",2
"The wedding soup and bread were good, but that's it!",2
"My nobler friends, I crave their pardons: For the mutable, rank-scented many, let them Regard me as I do not flatter, and Therein behold themselves: I say again, In soothing them, we nourish 'gainst our senate The cockle of rebellion, insolence, sedition, Which we ourselves have plough'd for, sow'd, and scatter'd, By mingling them with us, the honour'd number, Who lack not virtue, no, nor power, but that Which they have given to beggars.",1
BRUTUS: Come: Half all Cominius' honours are to Marcius.,1
My parents love their burgers.,2
"Everything is made to order, with fair portions, and great prices.",2
"VALERIA: In truth, la, go with me; and I'll tell you excellent news of your husband.",1
COMINIUS: The people are abused; set on.,1
"We do here pronounce, Upon the part o' the people, in whose power We were elected theirs, Marcius is worthy Of present death.",1
"Valentina was very pale, and round her eyes there were dark circles that told of sleeplessness, and as she bowed her head in prayer, her ladies observed that tears were falling on the illuminated Mass-book over which she bent.",1
Messenger: You are sent for to the Capitol.,1
First Citizen: Ye're long about it.,1
"COMINIUS: Come, sir, along with us.",1
"Come, good sweet lady.",1
"One of her safe racers was a dark bay, and she called him Bells because of the way he struck his iron shoes on the stones.",1
Will never go back or refer anyone else,2
"We are not to stay all together, but to come by him where he stands, by ones, by twos, and by threes.",1
Fan-freakin-tastic!,1
"Immediately in front of the Main Building and facing it, is a copper statue of Christ with arms upraised with the legend ""Venite Ad Me Omnes"".",0
BRUTUS: We pray the gods he may deserve your loves.,1
"All: Content, content.",1
A giant mound of food guaranteed to sooth any hangover.,2
More or less an appetizer filler before the meal. The mind-blower in this trip was the ordering of the fried chicken dinner.,2
They are butchers and should not even call themselves dentist.,2
When I arrived I wasn't sure if this was a driving range or an excavation site for a mastodon or a strip mining operation.,2
MENENIUS: Sham it be put to that?,1
"So, he took the meals back to the kitchen.",2
"As at most other universities, Notre Dame's students run a number of news media outlets.",5
"2 bicycles, a scooter, and an electronic keyboard graced the dining room.",2
"BRUTUS: Come, sir, come, we know you well enough.",1
"If I could give this place less than one star, I would.",2
They are crooks and butchers.,1
"Five times, Marcius, I have fought with thee: so often hast thou beat me, And wouldst do so, I think, should we encounter As often as we eat.",1
"If she could not wholly control Lassiter, then what she could do might put off the fatal day.",1
We ordered Reuben's and wanted coleslaw instead of kraut.,2
The weather is usually dry and warm.,2
Hear you this Triton of the minnows?,1
There are weeds grown all over the place.,2
LARTIUS: Their noise be our instruction.,1
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",3
The food tastes average and the price is good.,2
When I complained the manager was very rude and tried to blame us for taking to long to order.,2
They actually ground up the beans in front of us.,2
"MENENIUS: So do I too, if it be not too much: brings a' victory in his pocket?",1
Second Citizen: Consider you what services he has done for his country?,1
He received in the repulse of Tarquin seven hurts i' the body.,1
"Yet you must be saying, Marcius is proud; who in a cheap estimation, is worth predecessors since Deucalion, though peradventure some of the best of 'em were hereditary hangmen.",1
"Then again, the franchise is owned by Rice, and I've come to take terrible service is their MO.",2
"Messenger: The news is, sir, the Volsces are in arms.",1
"I got them in my country's service, when Some certain of your brethren roar'd and ran From the noise of our own drums.'",1
"Whatever the case, they have cold Guinness.",2
Same lousy service.,2
BRUTUS: Has said enough.,1
"VOLUMNIA: On's brows: Menenius, he comes the third time home with the oaken garland.",1
I have been to this restaurant twice and was disappointed both times.,2
MENENIUS: I'll keep you company.,1
"And, bagpipe please, Riley's Pour House opens March 1 of 2012.",2
"( dressing on the side of a salad, less feta on an entree and no oil on another entree) The waitress blamed it on the cook, but did offer to get one entree changed.",2
"Come; I would your cambric were sensible as your finger, that you might leave pricking it for pity.",1
Treats you like a local.Eaten here 3 times a week for a month.,2
"The delivery driver mistakenly rang my doorbell, having confused 133 and 113. Rather than taking a step back and analyzing the situation, he begins to accuse my wife and I of ordering and refusing to pay for this pizza. The driver then gets on his cell phone and rather than calling the number than was given when the order was placed, begins to call his bosses and starts threatening me with felony charges.",2
It is right across the street from the Rankin Police Station.,2
"'They have press'd a power, but it is not known Whether for east or west: the dearth is great; The people mutinous; and it is rumour'd, Cominius, Marcius your old enemy, Who is of Rome worse hated than of you, And Titus Lartius, a most valiant Roman, These three lead on this preparation Whither 'tis bent: most likely 'tis for you: Consider of it.'",1
"Second Citizen: You shall ha' it, worthy sir.",1
Please you To hear Cominius speak?,1
Eat at your own risk.,2
"I am weary; yea, my memory is tired.",1
"When you speak best unto the purpose, it is not worth the wagging of your beards; and your beards deserve not so honourable a grave as to stuff a botcher's cushion, or to be entombed in an ass's pack- saddle.",1
Second Citizen: Your own desert!,1
Stay away from this doc and the practice.,2
I have no idea who gave this place high reviews but they must either own the place or be time travelers from back in the day when this place might not have sucked.,2
"Consider where this place is ,the prices are really really high .",2
"MENENIUS: Pray you, who does the wolf love?",1
"Tried the Roman Style calamari, very good better than the fried calamari we had last time.",2
The workers do seem like nice people just trying to make a living but when it comes to cleanliness Don Don is lacking.,2
"When we granted that, Here was 'I thank you for your voices: thank you: Your most sweet voices: now you have left your voices, I have no further with you.'",1
MARCIUS: They are dissolved: hang 'em!,1
"BRUTUS: All tongues speak of him, and the bleared sights Are spectacled to see him: your prattling nurse Into a rapture lets her baby cry While she chats him: the kitchen malkin pins Her richest lockram 'bout her reechy neck, Clambering the walls to eye him: stalls, bulks, windows, Are smother'd up, leads fill'd, and ridges horsed With variable complexions, all agreeing In earnestness to see him: seld-shown flamens Do press among the popular throngs and puff To win a vulgar station: or veil'd dames Commit the war of white and damask in Their nicely-gawded cheeks to the wanton spoil Of Phoebus' burning kisses: such a pother As if that whatsoever god who leads him Were slily crept into his human powers And gave him graceful posture.",1
Excellent place to stay while visiting Pittsburgh.,2
"You have office workers, you have patients with medical needs, why isn't anyone answering the phone?",2
"Another table of five came in, and wham.",2
"The """"dentist"""" wanted to extract it that day, but I had plans for the weekend and was not about to be in pain.",2
You get two free personal training sessions when you join.,2
I had the carrot cake yummy!!,2
"Winners of items less than $50,000 paid a 20 percent premium.",2
MENENIUS: Do not stand upon't.,1
This is when tables around us sat empty.,2
The tee boxes look state of the art and the club house looks like something you'll see on a newer course.,2
Second Roman: And I this.,1
All I can say is the worst!,2
"SICINIUS: Why either were you ignorant to see't, Or, seeing it, of such childish friendliness To yield your voices?",1
"Wing Night is Monday & Wednesday night, $0.75 whole wings! The dining area is nice.",2
"MARCIUS: Let him alone; He did inform the truth: but for our gentlemen, The common file--a plague!",1
"I don't think I'd have this place on my list of """"musts"""" for downtown.",2
Same overtime.,2
"Wouldst thou have laugh'd had I come coffin'd home, That weep'st to see me triumph?",1
The pair were thought to be the last of the surviving production puppets.,2
"Unfortunately, the frustration of being Dr. Goldberg's patient is a repeat of the experience I've had with so many other doctors in NYC -- good doctor, terrible staff.",2
"All hurt behind; backs red, and faces pale With flight and agued fear!",1
First Roman: This will I carry to Rome.,1
Finally lets you have the pit to hit into.,2
That was HUGE!,2
Marcius is coming home: he has more cause to be proud.,1
Is the senate possessed of this?,1
"The sentinel was that same clerkly youth Aventano, who had read to the soldiers that letter Gian Maria had sent Gonzaga.",1
First Senator: He cannot but with measure fit the honours Which we devise him.,1
BRUTUS: You see how he intends to use the people.,1
I was given an antibiotic and instructed to schedule an appointment for the following Saturday so they could start the bridge.,2
Crust was excellent too.,2
"Our waitress was not knowledgable of all menu items, and three of our very simple requests did not come out as ordered.",2
"CORIOLANUS: So then the Volsces stand but as at first, Ready, when time shall prompt them, to make road.",1
"Would the nobility lay aside their ruth, And let me use my sword, I'll make a quarry With thousands of these quarter'd slaves, as high As I could pick my lance.",1
"COMINIUS: Nay, come away.",1
I had french toast and bacon.,2
VIRGILIA: I am glad to see your ladyship.,1
"CORIOLANUS: A match, sir.",1
We went there on a Saturday night with a mind to try the Irish food.,2
"When you are hearing a matter between party and party, if you chance to be pinched with the colic, you make faces like mummers; set up the bloody flag against all patience; and, in roaring for a chamber-pot, dismiss the controversy bleeding the more entangled by your hearing: all the peace you make in their cause is, calling both the parties knaves.",1
Def a place everyone should try.,2
Here it is!,2
Terrible.,2
You should avoid it at any time.,2
"VALERIA: You would be another Penelope: yet, they say, all the yarn she spun in Ulysses' absence did but fill Ithaca full of moths.",1
"He asks you to go change into a closet (Yes, a closet to change in with one lightbulb) BUT all my worries aside, the moment he started working on my items I knew he was the real deal.",2
Order fried calamari and it was OK...note to self next time try the calamari roman style. Like the dinning room with the hardwood floors and bright lighting.,2
"Outrageous ! There is so much possibility for ambiance in this restaurant , but they miss the mark on service and atmosphere.",2
"Finally, after a good 15 minutes of this torture, he ripped the tooth out of the side of my jaw.",2
"MARCIUS: Let the first budger die the other's slave, And the gods doom him after!",1
"CORIOLANUS: Why, this was known before.",1
CORIOLANUS: Your horror's pardon: I had rather have my wounds to heal again Than hear say how I got them.,1
"CORIOLANUS: Thou wretch, despite o'erwhelm thee!",1
We ordered an app and it came out with the meals and that was another 20 minutes or so.,2
My husband & I ate here a couple weeks ago for the first time.,2
"Lieutenant: Fear not our care, sir.",1
"If not, why cease you till you are so?",1
MARCIUS: I am glad on 't: then we shall ha' means to vent Our musty superfluity.,1
"AUFIDIUS: O, doubt not that; I speak from certainties.",1
The coffee at this place was brewed to perfection which a appreciate.,2
"If you are learn'd, Be not as common fools; if you are not, Let them have cushions by you.",1
"VALERIA: In earnest, it's true; I heard a senator speak it.",1
"BRUTUS: Then our office may, During his power, go sleep.",1
"In all fairness - I did not see this dentist but did schedule an appointment and waited 15 minutes for them to open. When I look at Yelp reviews, I usually weed out the outliers (the best and the worst).",2
"You should have said That as his worthy deeds did claim no less Than what he stood for, so his gracious nature Would think upon you for your voices and Translate his malice towards you into love, Standing your friendly lord.",1
"COMINIUS: Look, sir, your mother!",1
"The """"dentist"""" started the extraction.",2
A wager they have met.,1
"VIRGILIA: O, good madam, there can be none yet.",1
We will not be back .,2
The FOOD!,2
Those were some big thick burgers.,2
"I, that now Refused most princely gifts, am bound to beg Of my lord general.",1
Great job Jason!,2
"The menu has a wide selection, I really couldn't decide what I wanted but I went with the ribeye sandwich.",2
"For an end, We must suggest the people in what hatred He still hath held them; that to's power he would Have made them mules, silenced their pleaders and Dispropertied their freedoms, holding them, In human action and capacity, Of no more soul nor fitness for the world Than camels in the war, who have their provand Only for bearing burdens, and sore blows For sinking under them.",1
BRUTUS: What's the matter?,1
COMINIUS: Go we to our tent: The blood upon your visage dries; 'tis time It should be look'd to: come.,1
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals.",5
"Third Citizen: Nay, your wit will not so soon out as another man's will;'tis strongly wedged up in a block-head, but if it were at liberty, 'twould, sure, southward.",1
"MENENIUS: Why, masters, my good friends, mine honest neighbours, Will you undo yourselves?",1
"MENENIUS: You worthy tribunes,-- SICINIUS: He shall be thrown down the Tarpeian rock With rigorous hands: he hath resisted law, And therefore law shall scorn him further trial Than the severity of the public power Which he so sets at nought.",1
make you a sword of me?,1
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",3
"Both times, we never heard from them.",2
"Citizens: Down with him, down with him!",1
BRUTUS: We stay here for the people.,1
That is where the good part ends. Why two stars if we have a nice deck now?,2
My drink sat empty throughout my meal and never got refilled even when I asked.,2
BRUTUS: It will be dangerous to go on: no further.,1
I just got the tire and never needed to have it patched?,2
"MARCIUS: Five tribunes to defend their vulgar wisdoms, Of their own choice: one's Junius Brutus, Sicinius Velutus, and I know not--'Sdeath!",1
"The nine student-run outlets include three newspapers, both a radio and television station, and several magazines and journals.",5
I explained to her that there were too many indications where this was not going to be a good fit and wished her the best of luck. I recommend if you see this dentist you go to the front door (furthest away from the parking lot) for the entrance. Poor recommendation because the staff who walked by me seemed to be distracted which was pointed out in a previous review.,2
"Whatever the price to be paid, she must keep Lassiter close to her; she must shield from him the man who had led Milly Erne to Cottonwoods.",1
"BRUTUS: He's poor in no one fault, but stored with all.",1
First Senator: The gods forbid!,1
"Fourth Citizen: You have been a scourge to her enemies, you have been a rod to her friends; you have not indeed loved the common people.",1
"A fish tank with filthy, slimy fingerprints smeared all over it is there for your enjoyment. Our food came... no water to drink, no tea, medium temperature food.",2
CORIOLANUS: Tell me of corn!,1
I'm serious...,2
COMINIUS: It is your former promise.,1
The room was clean and well maintained.,2
The sandwich has enough fish to make four sandwiches.,2
"BRUTUS: You speak o' the people, As if you were a god to punish, not A man of their infirmity.",1
"When we came, half of the menu board was still on breakfast, and it was 4:30p.",2
So looking under one more bush certainly wouldn't hurt. So off we go right at lunchtime in the middle of...where exactly were we?,2
"After they gave me novocaine they get me with """"you need a bone graft also in that area since we are extracting that tooth"""".",2
The best time to visit is summer since Budapest is very cold in winter.,2
"The population of Budapest is about three million, and the city is a very popular place for tourists.",2
MENENIUS: I will make my very house reel tonight: a letter for me!,1
"Finally, in Spring 2008 an undergraduate journal for political science research, Beyond Politics, made its debut.",3
Simply put I LOVE it here.,2
"For your wants, Your suffering in this dearth, you may as well Strike at the heaven with your staves as lift them Against the Roman state, whose course will on The way it takes, cracking ten thousand curbs Of more strong link asunder than can ever Appear in your impediment.",1
It is actually a different Hawkins.,2
CORIOLANUS: Mine own desert.,1
"BRUTUS: Let's to the Capitol; And carry with us ears and eyes for the time, But hearts for the event.",1
"MARCIUS: O, they are at it!",1
"I've been informed by a fellow Yelper that they are just closed for the season, I hope they're right!",2
They understand the concept of customer service.,2
"First Citizen: Well, I'll hear it, sir: yet you must not think to fob off our disgrace with a tale: but, an 't please you, deliver.",1
"Save yourself a lot of time, money and pain.",2
The guy never really even apologized for the mistake.,2
We will never go back.,2
"Three soups (mostly vegetable loaded, which left me out), basic iceberg lettuce mix (very probably out of a bag), a few veggie toppings, and three or four dressings.",2
"First Senator: Your company to the Capitol; where, I know, Our greatest friends attend us.",1
"MENENIUS: Sir, sir,-- SICINIUS: Peace!",1
AUFIDIUS: The town is ta'en!,1
"BRUTUS: We do it not alone, sir.",1
"Our group of 7 had called a week ahead and were seated in the back of the far dining room, right by a door where clinking pots /pans and dishes were heard throughout our meal, as well as a Darth Vader type noise coming from the ceiling vent.",2
"The decor is tired and grimy, the place reeked of smoke, and the bartender/server was surly, to put it mildly.",2
"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection.",0
"Yet welcome, warriors: We call a nettle but a nettle and The faults of fools but folly.",1
BRUTUS: Mark you that?,1
will you dismiss the people?,1
"First Senator: Then, worthy Marcius, Attend upon Cominius to these wars.",1
"CORIOLANUS: I sometime lay here in Corioli At a poor man's house; he used me kindly: He cried to me; I saw him prisoner; But then Aufidius was within my view, And wrath o'erwhelm'd my pity: I request you To give my poor host freedom.",1
"In addition to being the apple of my nostalgia's eye, it is also the constant thought of my tummy when I'm hungry on the weekends.",2
"Yeah, I want that, that, that and THAT! My friend also mentioned that they have a Chicken Parm special one day of the week that is only served UNTIL 4 pm, and that it is fantastic.",2
"Architecturally, the school has a Catholic character.",3
Had take out.,2
"Both: Well, well, sir, well.",1
"And now came Fra Domenico from the sacristy in the white chasuble that the Church ordains for the Corpus Christi feast, followed by a page in a clerkly gown of black, and the Mass commenced.",1
"BRUTUS: What then, sir?",1
"Seriously, I'd rather eat at the OG.",2
The Dome yearbook is published annually.,3
First Citizen: It was an answer: how apply you this?,1
Window is opaque due to the grease so you can't hardly see inside.,2
BRUTUS: Lay hands upon him.,1
"The other magazine, The Juggler, is released twice a year and focuses on student literature and artwork.",3
"VOLUMNIA: Why, I pray you?",1
"No more, I say!",1
"MENENIUS: Put them not to't: Pray you, go fit you to the custom and Take to you, as your predecessors have, Your honour with your form.",1
Second Senator: Get you gone.,1
"VIRGILIA: 'Tis not to save labour, nor that I want love.",1
The new range looks amazing.,2
Associates are young teens and they really don't know where anything is.,2
They say there's grain enough!,2
"! The place is so pretty, they have a new addition that was just built within the last 2 years (according to my father in law) and its really nice.",2
And fun patrons.,2
There are better diners in the area that I will patronize in the future rather than Barb's.,2
"While I was there, I watched a lady rush in and demand 6 shirts to be altered in an hour, and he did it and charged the same price.",2
"SICINIUS: Hear me, people; peace!",1
"I got pancakes, bacon and eggs.",2
Don't waste your time eating here.,2
I belong to this gym...,2
Terrible service.,2
"At sixteen years, When Tarquin made a head for Rome, he fought Beyond the mark of others: our then dictator, Whom with all praise I point at, saw him fight, When with his Amazonian chin he drove The bristled lips before him: be bestrid An o'er-press'd Roman and i' the consul's view Slew three opposers: Tarquin's self he met, And struck him on his knee: in that day's feats, When he might act the woman in the scene, He proved best man i' the field, and for his meed Was brow-bound with the oak.",1
"BRUTUS: Come, come, you are well understood to be a perfecter giber for the table than a necessary bencher in the Capitol.",1
"LARTIUS: He did, my lord.",1
"Who knows, because I wasn't informed!",2
"BRUTUS: Could you not have told him As you were lesson'd, when he had no power, But was a petty servant to the state, He was your enemy, ever spake against Your liberties and the charters that you bear I' the body of the weal; and now, arriving A place of potency and sway o' the state, If he should still malignantly remain Fast foe to the plebeii, your voices might Be curses to yourselves?",1
SICINIUS: Here's he that would take from you all your power.,1
Atop the Main Building's gold dome is a golden statue of the Virgin Mary.,0
Much better restaurants to visit!,2
"MENENIUS: Masters of the people, Your multiplying spawn how can he flatter-- That's thousand to one good one--when you now see He had rather venture all his limbs for honour Than one on's ears to hear it?",1
Go on in a grab a beer and chat black and gold if you happen to be in Carnegie...they can help you out all types of ways in that area.,2
I can't believe the Doctor wouldn't give me a heads up to make sure my insurance would cover work that wasn't necessary and was strictly preventative.,2
"COMINIUS: Ay, if you come not in the blood of others, But mantled in your own.",1
"Second Officer: Three, they say: but 'tis thought of every one Coriolanus will carry it.",1
"I even asked them to fill all the holes they dug up and didn't use, and they only filled up one.",2
I called back a couple times with no real answers from the admin.,2
"VOLUMNIA: Nay, my good soldier, up; My gentle Marcius, worthy Caius, and By deed-achieving honour newly named,-- What is it?--Coriolanus must I call thee?-- But O, thy wife!",1
The carpets are just FILTHY and the walls match.,2
"If any such be here-- As it were sin to doubt--that love this painting Wherein you see me smear'd; if any fear Lesser his person than an ill report; If any think brave death outweighs bad life And that his country's dearer than himself; Let him alone, or so many so minded, Wave thus, to express his disposition, And follow Marcius.",1
SICINIUS: This a consul?,1
"In fact, the teeth are perfectly healthy.",2
"CORIOLANUS: Pray you now, if it may stand with the tune of your voices that I may be consul, I have here the customary gown.",1
"CORIOLANUS: No, sir,'twas never my desire yet to trouble the poor with begging.",1
"MARCIUS: Sir, it is; And I am constant.",1
"For the dearth, The gods, not the patricians, make it, and Your knees to them, not arms, must help.",1
This place is obviously a beloved neighborhood gem.,2
"When my friend told him of what had occurred, the manager said """"What do you want me to do""""? My friend said """"An apology would be a good start"""" whereupon the manager looked back at him and said """"Get out and don't come back"""" ?",2
"VOLUMNIA: Good ladies, let's go.",1
"Cushions, leaden spoons, Irons of a doit, doublets that hangmen would Bury with those that wore them, these base slaves, Ere yet the fight be done, pack up: down with them!",1
"I cannot bring My tongue to such a pace:--'Look, sir, my wounds!",1
"Finally, the second week into construction, my tiny 10x11 foot deck is done.",2
"VOLUMNIA: She shall, she shall.",1
"Messenger: Spies of the Volsces Held me in chase, that I was forced to wheel Three or four miles about, else had I, sir, Half an hour since brought my report.",1
Still with me? It's a tiny long bar just like the old Irish pubs.,2
"We recommend to you, tribunes of the people, Our purpose to them: and to our noble consul Wish we all joy and honour.",1
The Dome yearbook is published annually.,3
"Not to mention, though, that a good server wouldn't have served us that regardless.",2
"Meanwhile, of course, my wife and mom are eating their meals and my dad and I are sitting there with no meals.",2
"Cash only, so put that plastic away. Only bad thing that could happen is some douche bag from the Food Network or Travel Channel will make this place famous, and then I'll never be able to get in.",2
"While our waitress was a really nice girl, she wasn't on top of anything at all.",2
MARCIUS: How far off lie these armies?,1
"Custom calls me to't: What custom wills, in all things should we do't, The dust on antique time would lie unswept, And mountainous error be too highly heapt For truth to o'er-peer.",1
The people at the desk were all very pleasant and welcoming and quite willing to assist with any questions or issues with a smile.,2
He explores all options with you and is very patient and understanding.,2
"MENENIUS: His nature is too noble for the world: He would not flatter Neptune for his trident, Or Jove for's power to thunder.",1
SICINIUS: Have with you.,1
"SICINIUS: He cannot temperately transport his honours From where he should begin and end, but will Lose those he hath won.",1
This is by far the best dentist I have ever been to.,2
"I added mushrooms, it was very flavorful.",2
"'Fore me, this fellow speaks!",1
"I have to say that I write this review with much regret, because I have always loved PaPa J's.",2
"COMINIUS: Should they not, Well might they fester 'gainst ingratitude, And tent themselves with death.",1
"All: No more talking on't; let it be done: away, away!",1
"And they were quick to bill us for it, but no word on where we were in the process.",2
???????,2
I ate it.,2
The onions were huge chunks and the mushrooms were straight from a can.,2
"MENENIUS: For corn at their own rates; whereof, they say, The city is well stored.",1
Why be that company?,2
"I wasn't even given enough time to read the document, so I should have known and got up and left right then and there.",2
It is a popular Denny's.,2
"Also they do not keep the dishes, pots and pans, coffee makers, toasters or utensils in the rooms.",2
It had modern furnishings and the staff were quite friendly. Ordered the quattro formaggi pizza.,2
"It was upsetting that they left the deck dirty, and all the dirt and cement they moved around wasn't cleaned up.",2
"So, we gamely tried to order other things.",2
"Really nice guy, please go and support this business to keep him around town!",2
"He has it now, and by his looks methink 'Tis warm at 's heart.",1
"And if you finish even a minute after 8, don't plan on getting a drink.",2
Orange said he plans to give a portion of the proceeds to charity.,2
"Welcome to Rome, renowned Coriolanus!",1
"MENENIUS: O, true-bred!",1
"MENENIUS: In what enormity is Marcius poor in, that you two have not in abundance?",1
"VALERIA: Verily, I do not jest with you; there came news from him last night.",1
"CORIOLANUS: No more of this; it does offend my heart: Pray now, no more.",1
"MARCIUS: Say, has our general met the enemy?",1
I honestly would have rather had a fish sandwich from McDonald's that night.,2
I fed my whole family breakfast (3 of us) for $23.,2
"CORIOLANUS: O, You have, I know, petition'd all the gods For my prosperity!",1
I hope that through that glove people can see what he was trying to say in his music and what he said in his music.,2
